label,episode,lam,num_robots,n_completed,n_arrived,avg_flow_time,avg_wait_time,robot_utilization,dist_per_order,partial_trip_rate,mid_trip_count,mid_trip_rate,extra_travel_m,saving_per_insertion,reward,epsilon,completion_rate,throughput
RL_gq00_eval,0,0.1388888888888889,5,4895,4925,135.36783340210246,135.36783340210246,0.5891455555555553,29.780766087844782,0.0775269872423945,3367,0.6878447395301328,122857.69999999949,43.51122661122676,3173.532142412356,0.0,0.9939086294416244,0.13597222222222222
RL_gq00_eval,1,0.1388888888888889,5,4829,4854,134.30966873488447,134.30966873488447,0.5791649999999989,29.698674673845698,0.07868525896414343,3387,0.7013874508179747,124122.79999999973,43.353173900206755,3201.0415158706082,0.0,0.9948496085702513,0.1341388888888889
RL_gq00_eval,2,0.1388888888888889,5,5060,5081,137.04897645289304,137.04897645289304,0.5945897222222214,29.46382411067214,0.05938697318007663,3312,0.6545454545454545,117510.59999999993,44.51974637681162,3103.3761198201028,0.0,0.9958669553237551,0.14055555555555554
RL_gq00_eval,3,0.1388888888888889,5,5003,5029,135.91271664421274,135.91271664421274,0.6011347222222215,29.916719968019247,0.07053140096618357,3484,0.6963821706975815,126219.09999999992,43.77178530424801,3263.751794908548,0.0,0.9948299860807318,0.13897222222222222
RL_gq00_eval,4,0.1388888888888889,5,4966,4984,134.2611435658593,134.2611435658593,0.5967755555555545,29.760803463552293,0.06530214424951267,3483,0.7013693113169553,125328.39999999948,44.017111685328885,3276.3652518110175,0.0,0.9963884430176565,0.13794444444444445
RL_gq00_eval,5,0.1388888888888889,5,4966,4998,137.3325497399976,137.3325497399976,0.5941386111111105,29.87208014498603,0.07073643410852713,3368,0.6782118405155054,121413.79999999965,43.95077197149654,3156.375458475672,0.0,0.9935974389755903,0.13794444444444445
RL_gq00_eval,6,0.1388888888888889,5,4956,4978,135.4649738509022,135.4649738509022,0.5935713888888884,29.844622679580358,0.07468477206595538,3397,0.6854317998385795,122720.90000000026,43.87374153664991,3192.852735996088,0.0,0.995580554439534,0.13766666666666666
RL_gq00_eval,7,0.1388888888888889,5,4980,4996,134.32590898608657,134.32590898608657,0.5938786111111104,29.615592369478016,0.07803468208092486,3436,0.6899598393574298,124184.39999999994,43.85785797438884,3238.8292694477686,0.0,0.9967974379503602,0.13833333333333334
RL_gq00_eval,8,0.1388888888888889,5,4958,4985,136.1370922876058,136.1370922876058,0.5955461111111098,29.605425574828732,0.07003891050583658,3302,0.6659943525615167,118165.0999999996,44.214082374318714,3135.183648078379,0.0,0.9945837512537613,0.13772222222222222
RL_gq00_eval,9,0.1388888888888889,5,4935,4955,135.72401985386816,135.72401985386816,0.5942555555555551,29.754154002026443,0.07512195121951219,3440,0.6970618034447822,124465.49999999984,43.81816860465121,3236.436576093153,0.0,0.9959636730575177,0.13708333333333333
RL_gq00_eval,10,0.1388888888888889,5,5115,5128,136.7953745656651,136.7953745656651,0.6133977777777772,29.653880742913106,0.055133079847908745,3510,0.6862170087976539,123043.39999999997,44.94490028490029,3282.973406237787,0.0,0.9974648985959438,0.14208333333333334
RL_gq00_eval,11,0.1388888888888889,5,4966,4977,134.41460958702413,134.41460958702413,0.5944083333333327,29.62453685058407,0.070873786407767,3468,0.698348771647201,125843.40000000023,43.71297577854665,3264.387982402264,0.0,0.9977898332328712,0.13794444444444445
RL_gq00_eval,12,0.1388888888888889,5,4908,4936,135.39898509741244,135.39898509741244,0.5929472222222214,30.02476568867172,0.09486931268151017,3392,0.6911165444172779,124376.29999999987,43.33245872641513,3202.287970958961,0.0,0.9943273905996759,0.13633333333333333
RL_gq00_eval,13,0.1388888888888889,5,5060,5088,137.90588007713905,137.90588007713905,0.6011466666666655,29.747332015810443,0.056676272814601344,3373,0.666600790513834,120678.59999999966,44.22217610435824,3155.5642783273356,0.0,0.9944968553459119,0.14055555555555554
RL_gq00_eval,14,0.1388888888888889,5,4948,4967,134.6580575014253,134.6580575014253,0.5897894444444436,29.732669765561983,0.06549364613880743,3494,0.706143896523848,126593.79999999994,43.768231253577575,3281.1571082451424,0.0,0.9961747533722569,0.13744444444444445
RL_gq00_eval,15,0.1388888888888889,5,4964,4981,136.04798003781372,136.04798003781372,0.5950608333333327,29.797431506849435,0.06893203883495146,3408,0.6865431103948428,122684.19999999984,44.00111502347423,3199.614483936546,0.0,0.9965870307167235,0.1378888888888889
RL_gq00_eval,16,0.1388888888888889,5,5073,5094,137.63233215917703,137.63233215917703,0.6081824999999988,29.876680465208146,0.05645933014354067,3347,0.6597673960181353,120143.39999999983,44.10415297281152,3128.0281107044802,0.0,0.9958775029446407,0.14091666666666666
RL_gq00_eval,17,0.1388888888888889,5,4949,4968,135.28384169022124,135.28384169022124,0.5972524999999993,29.953980602141964,0.07115009746588694,3544,0.7161042634875733,128224.09999999992,43.819384875846524,3316.5828659979056,0.0,0.9961755233494364,0.13747222222222222
RL_gq00_eval,18,0.1388888888888889,5,5028,5045,135.84985830488577,135.84985830488577,0.6030219444444436,29.826123707239574,0.06609195402298851,3498,0.6957040572792362,127345.59999999979,43.59473985134368,3282.049245731658,0.0,0.9966303270564916,0.13966666666666666
RL_gq00_eval,19,0.1388888888888889,5,4996,5009,134.49391833241378,134.49391833241378,0.594448888888888,29.57509007205778,0.07142857142857142,3441,0.6887510008006406,122844.69999999976,44.29970938680623,3234.3417378251675,0.0,0.997404671591136,0.13877777777777778
RL_gq01_eval,0,0.1388888888888889,5,4903,4925,134.13742372093114,134.13742372093114,0.5856391666666662,29.657332245563985,0.06910167818361303,3435,0.7005914746073832,124046.4999999996,43.88748180494917,3226.387638085982,0.0,0.9955329949238578,0.13619444444444445
RL_gq01_eval,1,0.1388888888888889,5,4829,4854,134.20663484757736,134.20663484757736,0.579738611111111,29.679560985711305,0.06306306306306306,3405,0.7051149306274591,123667.89999999989,43.68049926578564,3221.3935601560884,0.0,0.9948496085702513,0.1341388888888889
RL_gq01_eval,2,0.1388888888888889,5,5061,5081,135.6074335666194,135.6074335666194,0.5925933333333326,29.253941908713823,0.06863679694947569,3351,0.6621221102548903,119275.69999999994,44.405938525813205,3149.6847941904534,0.0,0.9960637669750049,0.14058333333333334
RL_gq01_eval,3,0.1388888888888889,5,5009,5029,136.7929577911986,136.7929577911986,0.6023074999999992,29.92217009383121,0.06098741529525654,3374,0.6735875424236375,123199.69999999972,43.48556609365746,3155.988827408016,0.0,0.9960230662159475,0.1391388888888889
RL_gq01_eval,4,0.1388888888888889,5,4970,4984,133.827770455206,133.827770455206,0.5912736111111101,29.6701006036219,0.07543520309477757,3477,0.6995975855130785,126600.69999999969,43.58909979867711,3271.2910717748296,0.0,0.9971910112359551,0.13805555555555554
RL_gq01_eval,5,0.1388888888888889,5,4965,4998,137.3399545484574,137.3399545484574,0.5907591666666663,29.814733131923557,0.05968688845401174,3320,0.6686807653575025,120341.39999999967,43.75259036144588,3107.6971106259443,0.0,0.9933973589435774,0.13791666666666666
RL_gq01_eval,6,0.1388888888888889,5,4955,4978,135.7847003213433,135.7847003213433,0.5929749999999997,29.80324924318877,0.05870841487279843,3417,0.689606458123108,121870.39999999985,44.33409423470885,3206.831904084061,0.0,0.9953796705504219,0.1376388888888889
RL_gq01_eval,7,0.1388888888888889,5,4979,4996,133.26266385444853,133.26266385444853,0.5945280555555552,29.3994978911429,0.061284046692607,3463,0.6955211889937738,123517.4,44.33225526999711,3274.033171892475,0.0,0.9965972778222578,0.13830555555555554
RL_gq01_eval,8,0.1388888888888889,5,4957,4985,134.4970350511405,134.4970350511405,0.58549111111111,29.43110752471268,0.07475728155339806,3336,0.6729876941698608,122260.69999999972,43.35110911270991,3156.9017591681254,0.0,0.994383149448345,0.13769444444444445
RL_gq01_eval,9,0.1388888888888889,5,4935,4955,133.78567456130043,133.78567456130043,0.5880622222222208,29.521043566362916,0.06869479882237488,3415,0.6919959473150963,124717.89999999982,43.47938506588585,3216.279944643443,0.0,0.9959636730575177,0.13708333333333333
RL_gq01_eval,10,0.1388888888888889,5,5116,5128,136.36465462152006,136.36465462152006,0.6143502777777772,29.77219507427685,0.06610009442870633,3502,0.684519155590305,125175.80000000013,44.255910908052506,3267.474921621713,0.0,0.9976599063962559,0.1421111111111111
RL_gq01_eval,11,0.1388888888888889,5,4965,4977,132.53894651006414,132.53894651006414,0.5882883333333329,29.43173212487426,0.07543520309477757,3466,0.6980866062437059,124594.79999999996,44.0522792844778,3274.9629260000756,0.0,0.997588908981314,0.13791666666666666
RL_gq01_eval,12,0.1388888888888889,5,4911,4936,135.66413311609284,135.66413311609284,0.5921066666666658,29.937263286499807,0.07624633431085044,3418,0.695988597027082,124959.49999999985,43.44075482738448,3207.063509267398,0.0,0.994935170178282,0.13641666666666666
RL_gq01_eval,13,0.1388888888888889,5,5063,5088,136.03478397591738,136.03478397591738,0.5975577777777766,29.527463954177637,0.06130268199233716,3391,0.6697610112581474,121161.19999999972,44.269772928339805,3172.0259346655107,0.0,0.9950864779874213,0.1406388888888889
RL_gq01_eval,14,0.1388888888888889,5,4948,4967,133.5339637607112,133.5339637607112,0.5879074999999985,29.691835084882946,0.08422071636011616,3514,0.7101859337105901,127207.39999999975,43.799829254411,3308.542364281733,0.0,0.9961747533722569,0.13744444444444445
RL_gq01_eval,15,0.1388888888888889,5,4966,4981,134.7164123598933,134.7164123598933,0.5954630555555545,29.598701167942234,0.06796116504854369,3419,0.6884816753926701,122396.89999999972,44.2009651945014,3217.479557953676,0.0,0.996988556514756,0.13794444444444445
RL_gq01_eval,16,0.1388888888888889,5,5077,5094,136.94205330877804,136.94205330877804,0.6070963888888876,29.77456174906456,0.05182341650671785,3450,0.6795351585582037,122688.1,44.43823188405797,3216.0117445819437,0.0,0.996662740478995,0.14102777777777778
