label,episode,lam,num_robots,n_completed,n_arrived,avg_flow_time,avg_wait_time,robot_utilization,dist_per_order,partial_trip_rate,mid_trip_count,mid_trip_rate,extra_travel_m,saving_per_insertion,reward,epsilon,completion_rate,throughput
RL,0,0.08333333333333333,3,3032,3040,132.7221567268812,132.7221567268812,0.5982291666666649,29.54300791556729,0.11388455538221529,1931,0.6368733509234829,67841.29999999993,44.86727084412225,1793.309302502638,0.0,0.9973684210526316,0.08422222222222223
BL1_FullBuffer,0,0.08333333333333333,3,3030,3040,186.0951220735589,186.0951220735589,0.4926143518518508,27.459999999999976,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9967105263157895,0.08416666666666667
BL2_Partial_k3,0,0.08333333333333333,3,3031,3040,164.3930608454238,164.3930608454238,0.5557069444444435,32.66557241834378,0.5974193548387097,0,0.0,0.0,0.0,0.0,0.0,0.9970394736842105,0.08419444444444445
BL4_Nearest,0,0.08333333333333333,3,3032,3040,128.10825276555363,128.10825276555363,0.569807407407407,29.044689973614705,0.17717717717717718,1917,0.6322559366754618,68114.89999999998,44.46797078768911,0.0,0.0,0.9973684210526316,0.08422222222222223
RL,1,0.08333333333333333,3,2855,2864,128.31070822073164,128.31070822073164,0.577413888888887,30.079859894921206,0.18269230769230768,1958,0.6858143607705779,73124.89999999994,42.65326864147092,1830.5438843189856,0.0,0.9968575418994413,0.07930555555555556
BL1_FullBuffer,1,0.08333333333333333,3,2850,2864,187.57972181796958,187.57972181796958,0.46157824074074,27.471842105263153,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9951117318435754,0.07916666666666666
BL2_Partial_k3,1,0.08333333333333333,3,2846,2864,161.7976316434521,161.7976316434521,0.533191203703703,33.58373155305699,0.6613333333333333,0,0.0,0.0,0.0,0.0,0.0,0.9937150837988827,0.07905555555555556
BL4_Nearest,1,0.08333333333333333,3,2855,2864,124.8024894540754,124.8024894540754,0.5577189814814804,29.575989492119085,0.17647058823529413,1929,0.6756567425569177,72622.0999999999,42.35246241575951,0.0,0.0,0.9968575418994413,0.07930555555555556
RL,2,0.08333333333333333,3,3004,3022,136.69884393651992,136.69884393651992,0.5952439814814807,29.861418109187778,0.12872841444270017,1857,0.6181757656458056,68246.29999999996,43.24916532040928,1707.260347392202,0.0,0.9940436796823295,0.08344444444444445
BL1_FullBuffer,2,0.08333333333333333,3,3000,3022,188.22051917397653,188.22051917397653,0.49484675925925764,27.64596666666674,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9927200529450695,0.08333333333333333
BL2_Partial_k3,2,0.08333333333333333,3,3003,3022,168.9778083745353,168.9778083745353,0.5550986111111108,32.87122877122881,0.6090909090909091,0,0.0,0.0,0.0,0.0,0.0,0.9937127729980145,0.08341666666666667
BL4_Nearest,2,0.08333333333333333,3,3004,3022,132.03154126432526,132.03154126432526,0.5714717592592591,29.301964047936142,0.17549167927382753,1820,0.6058588548601864,67635.40000000001,42.8376923076923,0.0,0.0,0.9940436796823295,0.08344444444444445
RL,3,0.08333333333333333,3,3117,3127,139.64126363387615,139.64126363387615,0.6160634259259253,29.76653833814565,0.0950920245398773,1813,0.5816490214950273,64037.89999999991,44.67848869277446,1659.457998730388,0.0,0.9968020466901183,0.08658333333333333
BL1_FullBuffer,3,0.08333333333333333,3,3120,3127,188.21657088535827,188.21657088535827,0.5127564814814813,27.698798076923048,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9977614326830828,0.08666666666666667
BL2_Partial_k3,3,0.08333333333333333,3,3117,3127,173.57022135519557,173.57022135519557,0.5671555555555552,32.18800128328528,0.522697795071336,0,0.0,0.0,0.0,0.0,0.0,0.9968020466901183,0.08658333333333333
BL4_Nearest,3,0.08333333333333333,3,3117,3127,137.08637134292272,137.08637134292272,0.5903990740740738,29.243166506255985,0.16248153618906944,1741,0.5585498877125441,64121.69999999999,43.16961516369903,0.0,0.0,0.9968020466901183,0.08658333333333333
RL,4,0.08333333333333333,3,3032,3044,136.27628912807506,136.27628912807506,0.5976986111111111,29.710768469656944,0.11370716510903427,1810,0.5969656992084432,64052.30000000004,44.61198895027622,1669.567392604685,0.0,0.9960578186596584,0.08422222222222223
BL1_FullBuffer,4,0.08333333333333333,3,3025,3044,185.83665488487162,185.83665488487162,0.4946810185185181,27.483421487603234,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9937582128777924,0.08402777777777778
BL2_Partial_k3,4,0.08333333333333333,3,3027,3044,166.63018557892946,166.63018557892946,0.5506481481481484,32.12124215394777,0.5669291338582677,0,0.0,0.0,0.0,0.0,0.0,0.9944152431011827,0.08408333333333333
BL4_Nearest,4,0.08333333333333333,3,3032,3044,126.55449793275842,126.55449793275842,0.5730986111111118,28.742364775725537,0.16338880484114976,1893,0.6243403693931399,68354.80000000016,43.8907554146856,0.0,0.0,0.9960578186596584,0.08422222222222223
RL,5,0.08333333333333333,3,2896,2908,130.29241015817408,130.29241015817408,0.5844486111111103,29.947582872928095,0.1260229132569558,1940,0.669889502762431,69657.40000000001,44.0941237113402,1802.874186870516,0.0,0.9958734525447043,0.08044444444444444
